site,latitude,longitude
PERT00AUS,-31.8019000,115.8852000
PICL00CAN,51.4798083,-90.1619750
PIE100USA,34.3015058,-108.1189274
PNGM00PNG,-2.0432222,147.3660000
POHN00FSM,6.9599444,158.2101167
POTS00DEU,52.3792972,13.0660917
PRDS00CAN,50.8713000,-114.2935000
PTGG00PHL,14.5354022,121.0412654
PTVL00VUT,-17.7494333,168.3150250
RDSD00DOM,18.4613972,-69.9113000
REDU00BEL,50.0015000,5.1448806
REUN00REU,-21.2083333,55.5716667
REYK00ISL,64.1387833,-21.9554833
RGDG00ARG,-53.7858385,-67.7515279
RIGA00LVA,56.9486194,24.0587167
RIO200ARG,-53.7854722,-67.7511194
ROAG00ESP,36.4633500,-6.2062750
SALU00BRA,-2.5934583,-44.2124778
SAMO00WSM,-13.8492111,-171.7384194
SASK00CAN,52.1962556,-106.3983528
SCRZ00BOL,-17.7967917,-63.1596778
SCTB00ATA,-77.8489861,166.7580139
SCUB00CUB,20.0120667,-75.7623139
SEYG00SYC,-4.6787318,55.5306305
SGOC00LKA,6.8920750,79.8741778
SIN000SGP,1.3429811,103.6794383
SIN100SGP,1.3429811,103.6794383
SOD300FIN,67.4207861,26.3892861
SOLO00SLB,-9.4349222,159.9543444
SPTU00BRA,-21.9291167,-50.4923694
STFU00USA,37.4269069,-122.1732908
STJ300CAN,47.5954351,-52.6783078
STJO00CAN,47.5952389,-52.6777472
STK200JPN,43.5286444,141.8448194
STR100AUS,-35.3155388,149.0108833
STR200AUS,-35.3161667,149.0101528
SUTH00ZAF,-32.3802108,20.8104623
SUTM00ZAF,-32.3814361,20.8109111
SYDN00AUS,-33.7808845,151.1503769
TASH00UZB,41.3280500,69.2955667
THTG00PYF,-17.5770603,-149.6064384
TID100AUS,-35.3992101,148.9799956
TIT200DEU,51.0353028,6.4316250
TLSE00FRA,43.5606944,1.4808722
TLSG00FRA,43.5497125,1.4850415
TONG00TON,-21.1447139,-175.1792222
TOW200AUS,-19.2692855,147.0556849
TRO100NOR,69.6627222,18.9396389
TSK200JPN,36.1055750,140.0871167
TUVA00TUV,-8.5252917,179.1965611
TWTF00TWN,24.9536000,121.1645000
UCAL00CAN,51.0799750,-114.1338500
UFPR00BRA,-25.4483686,-49.2309548
ULAB00MNG,47.8650667,107.0523306
UNB300CAN,45.9502083,-66.6417056
UNBD00CAN,45.9501233,-66.6414947
UNBN00CAN,45.9502083,-66.6417056
UNBS00CAN,45.9501233,-66.6414947
UNSA00ARG,-24.7274556,-65.4076444
UNX200AUS,-33.9177667,151.2318739
UNX300AUS,-33.9177667,151.2318739
URAL00RUS,56.8382750,60.6148583
URUM00CHN,43.8079500,87.6006722
USN400USA,38.9205647,-77.0662739
USN500USA,38.9205647,-77.0662739
USN800USA,38.9205661,-77.0662766
USN900USA,38.9205661,-77.0662766
VILL00ESP,40.4436000,-3.9520000
VOIM00MDG,-21.9063000,46.7932722
WARK00NZL,-36.4344111,174.6627806
WARN00DEU,54.1697778,12.1014167
WGTN00NZL,-41.3234564,174.8058931
WIND00NAM,-22.5749194,17.0894306
WROC00POL,51.1131000,17.0619000
WTZ200DEU,49.1447778,12.8952778
WTZ300DEU,49.1447778,12.8786389
WTZR00DEU,49.1441972,12.8789083
WTZS00DEU,49.1447778,12.8786111
WTZZ00DEU,49.1442139,12.8789056
WUH200CHN,30.5317000,114.3573000
XMIS00AUS,-10.4499694,105.6884944
YAR200AUS,-29.0465602,115.3469724
YAR300AUS,-29.0465000,115.3471472
YARR00AUS,-29.0465944,115.3469694
YEL200CAN,62.4813211,-114.4808464
YELL00CAN,62.4809000,-114.4807000
ZIM200CHE,46.8770917,7.4650278
ZIM300CHE,46.8770917,7.4650278
ZIMJ00CHE,46.8771389,7.4651000
