city,station,lng,lat
自贡市,檀木林体育馆,104.7778,29.36028
攀枝花市,弄弄坪,101.68912,26.57098
攀枝花市,河门口,101.5769,26.5928
攀枝花市,炳草岗,101.7169,26.585
攀枝花市,仁和,101.7453,26.5017
攀枝花市,四十中小,101.7227,26.567
泸州市,九狮山,105.4306,28.9583
泸州市,小市上码头,105.4436,28.9026
泸州市,兰田宪桥,105.4322,28.8558
泸州市,市环监站,105.4322,28.8833
德阳市,东山公园,104.4219,31.1208
德阳市,西小区,104.3883,31.1333
德阳市,市检察院,104.4053,31.1167
德阳市,耐火材料厂,104.3539,31.1108
绵阳市,富乐山,104.7778,31.4747
绵阳市,市人大,104.7536,31.4539
绵阳市,高新区自来水公司,104.6717,31.4656
绵阳市,三水厂,104.7283,31.5072
广元市,黑石坡,105.8945,32.4535
广元市,老城,105.8242,32.4429
广元市,南坝,105.8153,32.4246
广元市,监测站,105.8624,32.4285
遂宁市,石溪浩,105.7519,30.5797
遂宁市,市监测站,105.68,30.6133
遂宁市,行政中心,105.8161,30.6347
遂宁市,美宁食品公司,105.5956,30.475
内江市,市监测站,105.0331,29.5953
内江市,东兴区政府,105.0717,29.5947
内江市,内江二中,105.0653,29.5817
内江市,内江日报社,105.0406,29.5822
乐山市,花湖湾,103.7705,29.5467
乐山市,牛耳桥,103.7627,29.5844
乐山市,市第三水厂,103.7506,29.6007
乐山市,市监测站,103.757,29.5634
南充市,西山风景区,106.056,30.8064
南充市,南充市委,106.0789,30.8023
南充市,南充炼油厂,106.1031,30.8217
南充市,高坪区监测站,106.1064,30.7856
南充市,嘉陵区环保局,106.0642,30.7636
南充市,市环境监测站,106.1087,30.8388
眉山市,蟆颐观,103.8986,30.0506
眉山市,气象局,103.8416,30.0874
眉山市,市委党校,103.8578,30.0744
眉山市,区人社局,103.8286,30.0561
宜宾市,石马中学,104.5969,28.8194
宜宾市,市委,104.6225,28.76611
宜宾市,宜宾四中,104.6061,28.7867
宜宾市,市政府,104.6417,28.76389
宜宾市,黄金嘴,104.5761,28.71583
宜宾市,沙坪中学,104.6789,28.7989
广安市,小平旧居,106.631,30.518
广安市,市委,106.6303,30.4576
广安市,友谊中学,106.6271,30.4663
广安市,广电花园,106.6388,30.4551
广安市,北辰小学,106.6351,30.4865
达州市,达州职业技术学院,107.5272,31.2797
达州市,市环境监测站,107.525,31.215
达州市,凤凰小区,107.4967,31.2108
达州市,达县机关宾馆,107.5069,31.1956
达州市,市政中心,107.4611,31.2058
雅安市,大兴526台,103.009,30.0125
雅安市,建安厂,103.0013,29.9899
雅安市,市政府,103.0109,29.9834
雅安市,川农大,103.0001,29.9816
巴中市,苏山坪,106.7513889,31.87888889
巴中市,职业中学,106.7619444,31.85805556
巴中市,丽阳花园,106.7658,31.8542
巴中市,圣泉水务公司,106.7417,31.8653
资阳市,莲花山,104.6617,30.1366
资阳市,资阳中学,104.6356,30.1506
资阳市,四三一厂,104.6289,30.1377
资阳市,师范校,104.6469,30.1142
资阳市,区法院,104.6294,30.1259
阿坝州,州农科所,102.1755,31.9286
阿坝州,州监测站,102.2218,31.9025
阿坝州,马师校,102.2402,31.8934
甘孜州,水桥子,101.9603,30.0475
甘孜州,州环保局,101.9533,29.9972
凉山州,青龙寺,102.3419,27.8094
凉山州,邛海宾馆,102.2714,27.8408
凉山州,西昌市政府,102.2625,27.8978
凉山州,凉山州政府,102.2689,27.8847
凉山州,长安,102.2311,27.8953
天津市,勤俭道,117.145,39.1654
天津市,大直沽八号路,117.237,39.1082
天津市,前进道,117.202,39.0927
天津市,淮河道,117.1837,39.2133
天津市,跃进路,117.307,39.0877
天津市,第四大街,117.707,39.0343
天津市,永明路,117.457,38.8394
天津市,汉北路,117.764,39.1587
天津市,团泊洼,117.157,38.9194
天津市,河西一经路,117.7918,39.2474
天津市,津沽路,117.3747,38.9846
天津市,宾水西道,117.1589,39.0845
天津市,大理道,117.1941,39.1067
天津市,中山北路,117.2099,39.16969
天津市,西四道,117.3916,39.1495
银川市,贺兰山马莲口,105.9512,38.6016
银川市,贺兰山东路,106.2328,38.4975
银川市,学院路,106.1358,38.5036
银川市,水乡路(直管站),106.2275,38.44139
银川市,上海东路,106.2739,38.4841
银川市,文昌北街,106.1024,38.49494
石嘴山市,沙湖旅游区,106.3394,38.817
石嘴山市,大武口黄河东街,106.3717,39.0153
石嘴山市,惠农南大街,106.7704,39.2282
石嘴山市,红果子镇惠新街,106.7096,39.1292
吴忠市,教育园区,106.1532,37.9648
吴忠市,高级中学,106.2025,37.9844
吴忠市,新区二泵站,106.196,37.9723
固原市,马园,106.2319,36.1417
固原市,监测站,106.2792,36.0022
固原市,新区,106.2375,36.0211
中卫市,沙坡头消防站,105.0197,37.4514
中卫市,官桥站,105.18,37.0172
中卫市,环保局站,105.1971,37.5002
合肥市,明珠广场,117.196,31.7848
合肥市,三里街,117.307,31.8766
合肥市,琥珀山庄,117.259,31.8706
合肥市,董铺水库,117.16,31.9051
合肥市,长江中路,117.25,31.8572
合肥市,庐阳区,117.266,31.9438
合肥市,瑶海区,117.336,31.8585
合肥市,包河区,117.302,31.7956
合肥市,滨湖新区,117.278,31.7386
合肥市,高新区,117.124,31.8516
芜湖市,监测站,118.3528,31.3508
芜湖市,科创中心,118.37,31.4189
芜湖市,四水厂,118.3708,31.3178
芜湖市,五七二零厂,118.4022,31.3839
蚌埠市,工人疗养院,117.3961,32.939
蚌埠市,百货大楼,117.3575,32.9444
蚌埠市,二水厂,117.3086,32.935
蚌埠市,蚌埠学院,117.4186,32.8913
蚌埠市,淮上区政府,117.3536,32.9673
蚌埠市,高新区,117.3065,32.8985
淮南市,潘集区政府,116.8028,32.7639
淮南市,师范学院,117.0083,32.645
淮南市,谢家集区政府,116.8556,32.6028
淮南市,八公山区政府,116.8306,32.6319
淮南市,焦岗湖风景区管理处,116.7039,32.625
淮南市,益益乳业工业园,117.0411667,32.64600333
马鞍山市,湖东路四小,118.5058,31.6861
马鞍山市,天平服装,118.4828,31.6411
马鞍山市,慈湖二小,118.5106,31.7506
马鞍山市,马钢动力厂,118.48,31.6928
马鞍山市,市教育基地,118.6439,31.7133
淮北市,监测站,116.8008,33.975
淮北市,烈山区政府,116.8067,33.8997
淮北市,职业技术学院,116.7844,33.9461
铜陵市,市第四中学,117.8178,30.9414
铜陵市,市公路局,117.8078,30.9222
铜陵市,市新民污水厂,117.7806,30.9414
铜陵市,市第九中学,117.7442,30.8811
铜陵市,车站新区,117.8561,30.9219
铜陵市,市职教基地,117.8472,30.9697
安庆市,环科院,117.0549,30.5103
安庆市,马山宾馆,117.0331111,30.51197222
安庆市,安庆大学(对照点),116.9894,30.6145
安庆市,市人大,117.0594,30.5342
黄山市,延安路89号,118.3057,29.7128
黄山市,黄山东路89号,118.3236,29.7207
黄山市,黄山区政府5号楼,118.1371,30.2756
滁州市,老年大学,118.3094,32.3153
滁州市,人大宾馆,118.3244,32.2786
滁州市,监测站,118.3158,32.3061
阜阳市,市监测站,115.8275,32.8928
阜阳市,开发区,115.8556,32.8603
阜阳市,阜阳职业技术学院,115.7838889,32.88922222
宿州市,一中,116.9677,33.6284
宿州市,火车站,116.989,33.63063889
宿州市,远航博物馆(181204启用),116.951,33.666
六安市,监测大楼,116.508,31.7371
六安市,皖西学院,116.478,31.7618
六安市,朝阳厂,116.5068,31.7797
六安市,开发区,116.5661,31.7712
亳州市,污水处理厂,115.8067,33.8399
亳州市,三国揽胜宫,115.7831,33.8561
池州市,池州学院,117.4697,30.6617
池州市,平天湖,117.4974,30.6539
池州市,老干部局,117.49,30.66
宣城市,鳌峰子站,118.7581,30.9447
宣城市,敬亭山子站,118.7386,30.9742
宣城市,开发区子站,118.7175,30.9431
济南市,科干所,116.988,36.6114
济南市,农科所,116.93,36.67
济南市,开发区,117.114,36.6739
济南市,济南化工厂,116.989,36.6872
济南市,省种子仓库,117.0684,36.6868
济南市,机床二厂,116.943,36.6489
济南市,市监测站,117.049,36.6622
济南市,长清党校,116.734,36.5336
章丘市,环境监测站,117.541,36.71
章丘市,明水开发区,117.541,36.71
青岛市,仰口,120.6659,36.2403
青岛市,李沧区子站,120.3905,36.1851
青岛市,市北区子站,120.3471,36.0699
青岛市,市南区东部子站,120.4134,36.0654
青岛市,四方区子站,120.3664,36.1032
青岛市,市南区西部子站,120.2992,36.0543
青岛市,崂山区子站,120.4587,36.0851
青岛市,黄岛区子站,120.1964,36.3083
青岛市,城阳区子站,120.4001,36.2403
胶州市,胶州环保局,120.008,36.283
胶州市,胶州一中,120.014,36.253
即墨市,环保局子站,120.61,36.44
即墨市,开发区子站,120.47,36.39
平度市,1号,119.952,36.792
平度市,2号,119.976,36.799
胶南市,JN子站,120.005,35.878
胶南市,2号子站,120.039,35.872
莱西市,环保局子站,120.537,36.865
莱西市,人民广场子站,120.515,36.885
淄博市,人民公园,118.0482,36.8088
淄博市,东风化工厂,118.0448,36.838
淄博市,双山,117.8477,36.497
淄博市,气象站,117.9544,36.6377
淄博市,莆田园,118.3092,36.8198
淄博市,三金集团,117.8512,36.8041
枣庄市,市中区政府,117.5564,34.864
枣庄市,薛城环保局,117.2852,34.7837
枣庄市,峄城区政府,117.5852,34.7745
枣庄市,台儿庄区环保局,117.732,34.5667
